Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual,2025_Program,2026_GAA,Page_No
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Night Shift Differential Pay,None,398,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Other Personnel Benefits,None,90354,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,0,0,366,31
Department of Foreign Affairs (DFA),Other Benefits,Retirement and Life Insurance Premiums,None,244628,241468,280971,32
Department of Foreign Affairs (DFA),Other Benefits,PAG-IBIG Contributions,None,7243,7468,7662,32
Department of Foreign Affairs (DFA),Other Benefits,PhilHealth Contributions,None,45883,44297,49262,32
Department of Foreign Affairs (DFA),Other Benefits,Employees Compensation Insurance Premiums,None,3770,3732,3832,32
Department of Foreign Affairs (DFA),Other Benefits,Terminal Leave,None,232919,326687,287219,32
Department of Foreign Affairs (DFA),Other Benefits,Loyalty Award Civilian,None,130,140,40,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Travelling Expenses,None,709077,1318800,1555521,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,108372,119177,251319,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,2429613,4853340,1129825,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Utility Expenses,None,198802,203480,224089,32
